country,age,role_title,are_you_a_ds,gender,annual_salary
Rest of the world,30-34,Other title,No,Male,"10-20,000"
USA,30-34,Data Scientist,Yes,Female,"0-10,000"
India,22-24,Data Analyst,Maybe,Male,"0-10,000"
Rest of the world,25-29,Data Scientist,Maybe,Male,Undisclosed
Rest of the world,35-39,Other title,No,Male,"10-20,000"
India,18-21,Other title,No,Male,"0-10,000"
Rest of the world,30-34,Software Engineer,No,Male,"20-30,000"
Rest of the world,22-24,Student,Maybe,Male,Undisclosed
USA,40+,Data Scientist,Maybe,Male,"125-150,000"
Rest of the world,25-29,Student,No,Male,"30-40,000"
USA,25-29,Other title,Yes,Male,"30-40,000"
Rest of the world,25-29,Data Analyst,No,Female,"10-20,000"
Rest of the world,25-29,Data Scientist,Maybe,Male,"30-40,000"
Rest of the world,40+,Data Scientist,Yes,Male,"50-60,000"
Rest of the world,25-29,Other title,No,Male,"0-10,000"
USA,35-39,Other title,Yes,Male,"100-125,000"
Rest of the world,40+,Data Scientist,Yes,Male,"30-40,000"
Rest of the world,30-34,Other title,No,Female,"50-60,000"
USA,30-34,Other title,Maybe,Male,"90-100,000"
Rest of the world,25-29,Research Scientist,Maybe,Female,"0-10,000"
Rest of the world,30-34,Data Scientist,Maybe,Male,"70-80,000"
Rest of the world,25-29,Other title,No,Male,"0-10,000"
India,30-34,Other title,Maybe,Male,"0-10,000"
USA,30-34,Data Analyst,Yes,Female,"80-90,000"
Rest of the world,40+,Business Analyst,No,Female,"10-20,000"
Rest of the world,25-29,Software Engineer,Yes,Female,"10-20,000"
Rest of the world,30-34,Business Analyst,No,Male,"70-80,000"
Rest of the world,35-39,Data Scientist,Yes,Male,"100-125,000"
China,25-29,Data Analyst,Maybe,Female,Undisclosed
Rest of the world,25-29,Data Scientist,Yes,Female,"60-70,000"
Rest of the world,30-34,Software Engineer,Yes,Male,"90-100,000"
India,40+,Software Engineer,No,Male,Undisclosed
Rest of the world,22-24,Software Engineer,Yes,Male,"30-40,000"
Rest of the world,30-34,Data Scientist,Yes,Male,"80-90,000"
USA,22-24,Other title,No,Male,"10-20,000"
USA,40+,Software Engineer,No,Male,"400-500,000"
Rest of the world,25-29,Research Scientist,Maybe,Male,"40-50,000"
Rest of the world,22-24,Data Scientist,Yes,Male,"0-10,000"
Russia,30-34,Software Engineer,Yes,Male,"10-20,000"
India,18-21,Student,No,Male,"0-10,000"
Rest of the world,35-39,Data Analyst,Yes,Male,"0-10,000"
India,18-21,Student,Yes,Male,"0-10,000"
Rest of the world,40+,Research Scientist,Yes,Male,Undisclosed
Rest of the world,25-29,Student,Yes,Male,"10-20,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"70-80,000"
India,18-21,Data Scientist,Yes,Male,"0-10,000"
Rest of the world,30-34,Student,Yes,Male,"125-150,000"
Rest of the world,35-39,Other title,Maybe,Male,"20-30,000"
Rest of the world,30-34,Software Engineer,No,Male,"70-80,000"
USA,40+,Software Engineer,Maybe,Male,Undisclosed
Rest of the world,30-34,Consultant,No,Male,"40-50,000"
USA,18-21,Student,Yes,Male,"50-60,000"
Rest of the world,25-29,Data Scientist,Yes,Male,"50-60,000"
Rest of the world,25-29,Data Analyst,Maybe,Male,"40-50,000"
Rest of the world,30-34,Software Engineer,Yes,Male,"40-50,000"
