are_you_a_ds,industry,datatypes
Yes,Other industry,Audio Data
No,I am a student,Audio Data
Yes,Computers/Technology,Audio Data
Maybe,Other industry,Audio Data
Maybe,I am a student,Audio Data
Yes,Academics/Education,Audio Data
Yes,I am a student,Audio Data
No,I am a student,Audio Data
Maybe,I am a student,Audio Data
No,Other industry,Audio Data
No,I am a student,Audio Data
Yes,Online Service/Internet-based Services,Audio Data
Yes,I am a student,Audio Data
Yes,Academics/Education,Audio Data
Yes,Accounting/Finance,Audio Data
No,Other industry,Audio Data
Yes,Academics/Education,Audio Data
Yes,Academics/Education,Audio Data
Yes,Computers/Technology,Audio Data
Yes,I am a student,Audio Data
Yes,Academics/Education,Audio Data
No,I am a student,Audio Data
Yes,I am a student,Audio Data
Yes,Computers/Technology,Audio Data
No,I am a student,Audio Data
Yes,I am a student,Audio Data
Maybe,I am a student,Audio Data
Yes,Academics/Education,Audio Data
Yes,I am a student,Audio Data
Yes,I am a student,Audio Data
Yes,I am a student,Audio Data
Yes,Other industry,Audio Data
Yes,I am a student,Audio Data
Yes,Computers/Technology,Audio Data
Yes,Computers/Technology,Audio Data
Yes,Online Service/Internet-based Services,Audio Data
Yes,Computers/Technology,Audio Data
Maybe,I am a student,Audio Data
No,Computers/Technology,Audio Data
Yes,Computers/Technology,Audio Data
Maybe,Computers/Technology,Audio Data
Yes,Computers/Technology,Audio Data
Yes,Computers/Technology,Audio Data
No,I am a student,Audio Data
Yes,I am a student,Audio Data
No,Academics/Education,Audio Data
No,Other industry,Audio Data
Yes,Other industry,Audio Data
Yes,Computers/Technology,Audio Data
Maybe,Computers/Technology,Audio Data
Maybe,I am a student,Audio Data
Maybe,Computers/Technology,Audio Data
No,I am a student,Audio Data
Yes,I am a student,Audio Data
Yes,I am a student,Audio Data
Yes,Computers/Technology,Audio Data
No,I am a student,Audio Data
Yes,I am a student,Audio Data
Yes,Computers/Technology,Audio Data
Yes,I am a student,Audio Data
Yes,Other industry,Audio Data
Yes,Other industry,Audio Data
Yes,Academics/Education,Audio Data
Yes,I am a student,Audio Data
No,Academics/Education,Audio Data
Yes,I am a student,Audio Data
Yes,I am a student,Audio Data
Yes,Online Service/Internet-based Services,Audio Data
Yes,Computers/Technology,Audio Data
No,Academics/Education,Audio Data
Maybe,Computers/Technology,Audio Data
Yes,Other industry,Audio Data
Maybe,Computers/Technology,Audio Data
Yes,Computers/Technology,Audio Data
Yes,Computers/Technology,Audio Data
Maybe,I am a student,Audio Data
Yes,Computers/Technology,Audio Data
